作者,user_token,回答,创建时间,赞同数,评论数
二十六画,yin-ji-xing,正是因为爱孩子，才不愿意他出生,2021-05-31 17:29:06,578,35
知乎用户3I5Hu7,gao-zheng-yang-36,"我们老板，手底下四五个企业，包含了化工，重工，轻纺，他现在50多了，还在琢磨着人工授精生第三胎，现在国家开放了，他更开心了。我们呢，上十二小时休二十四小时，一个月算下来干了240小时，没有法定节假日，有五险没一金且最低工资水平线，努努力，能帮他养三胎
九零后最惨，独生子女多，两个人结婚后，人到中年，有双方父母四人，有子女三人，上有老下有小，房贷还没还完，就得琢磨照顾父母子女，等到65退休了，还带照顾九个孙子孙女",2021-05-31 16:30:07,553,90
vy0b0x,vy0b0x,一辆车开不动时，我们会检查车是不是有毛病了，油还够不够，而不是猛踩油门喊着给我起飞。这是普通人都懂的道理。,2021-05-31 17:18:42,366,18
匿名用户,,"国家帮忙养吗
帮忙养我也不生，我算什么东西，也配养小孩",2021-05-31 16:48:08,325,15
列鹿营,lie-lu-chuang-fu,"就，想笑
我也不知道为什么想笑，
但
就，想笑。",2021-08-26 14:49:56,269,34
真Toni老师,zhang-si-yang-24-55,"微博上新华社的投票看不见了，在我投票的时候，那个差距就非常难看了。问我三孩政策怎么看，我举双手支持。但我真的不是目标群体，所以我毫无波澜。
希望那些有能力，有资源，富足的年轻人多多生育，国家和民族的希望在你们身上。而我，一个废材，买不起房子，卷不过别人，没有资格背负国家和民族的希望，但我一定会努力工作，为祖国建设添砖加瓦。那我的养老金就靠各位的孩子了。
歪楼，如果生了三胎了，那不又得落入内卷，疯狂竞争的循环么？
就在刚才我车停在健身房边的窄路上，坐在车里收拾健身的东西准备下车去健身房。一个小男孩坐在他妈妈的电瓶车上从我车旁边开过，我在后视镜里看他张开双臂使劲的掰了靠我这边所有车子的左后视镜包括我的，然后冲我挑衅的笑了笑。这一瞬间我想着，如果任由这养而不教的父母生育二胎、三胎，国民素质提升还有很长的路要走。
政策出来之后，有一些99年，00年后孩子的父母也开始重新考虑二胎了，其实这个三孩政策也一定程度上鼓励了那些事业有成、家庭幸福、工作顺心的80后父母去生第二胎乃至第三胎。我来自一个小县城，我的那些留在县城工作结婚生子的同学们有这种二胎三胎想法的也大有人在。唯独是大城市和房价奇高的地方的年轻人不愿意要第二胎第三胎，甚至连第一胎都没有。这么说来，这个政策的受众群体就并不是我们这些事业无成，找不到对象的人啊。",2021-06-05 14:20:02,431,91
克里斯惊,ke-li-si-liang-20,"国家在经济发展等方面都是智商满满，在人口问题上则是有点缺乏基本逻辑。
我只有一个孩子，在上海这么卷的地方，房车户口和还不错的工作都有。夫妻两个可以努努力，不说跨越阶层，但让他快乐成长问题不大。
但我说的努努力是两个996，我有时候一周见不到他一次。家里请住家阿姨，阿姨一走，我爸妈就要从2000公里外的老家飞过来。房子是很大，但是租的，阿姨不在几天，小朋友可以对着钢琴吹灰玩，好像喜欢什么东西都可以尽情买买买，但如果喜欢一套好一点的房，那就是千万级的一次性支出，我们就会很默契的假装这套房其实也没那么好，我们每年都在香港买保单，但是谁也不敢真的生一次病。
之前很认真的考虑过要第二个孩子，我们都是少数民族，我们都知道两个孩子有两个孩子的好。
但我不敢，她也不敢，因为我自己知道我的身体已经不如30岁前了，就算这种强度能干到45岁，那也不过是十年不到的时间。这十年老大尚未成人，老二还小，父母日渐年迈。我没有信心自己可以在不降低生活品质的前提下去保障家庭生活，万一有个三病两痛，一夜回到解放前也不是不可能。
我想要良好的工作环境，长期的社会保障，更好的教育资源和医疗资源，坦白说国家在这几点上已经做得很不错了，那我也不好意思再给国家添麻烦了。
政策本身，就好像我想去买辆10w左右代步车而店员推荐了阿斯顿马丁，在看到我尴尬的用脚趾在4s店地板上抠出三室一厅的窘态后，店员恍然大悟，偷偷的告诉我如果我今天下单全款支付，他可以申请给我送一套座椅靠垫。",2021-05-31 17:26:35,236,27
星月无痕,xing-yue-wu-hen-31,"围绕住zhai产业化的系统性连锁shi wu透支了民间几十年的购买力，并进一步催生出包括教育产业化、医疗产业化等巨型【刚嘘】吸xue怪胎，进而引发一系列连锁反应，长久性地抬高了草民正常生存成本。当这种成本长期高于某个零界点的时候，就会导致各种出乎意料的结果，其中包括生育意愿的被扼杀。
说白了，不是不想生，是真的生不起。连病都生不起，还能生得起孩子吗？
举一个最简单例子：生了孩子谁照看？
七十年代(以及更早的一些时候)生了孩子是有托儿所的，婴儿可以寄放在托儿所，大人就可以去上班了，等孩子长大一些转进幼儿园。而且那时候的托儿所幼儿园都是对孩子非常认真负责的，把孩子放在那里是很放心的(记得高英培、范振钰先生就曾经说过一个歌颂型相声段子，就是夸奖幼儿园阿姨对孩子认真负责的，相声好像叫《好阿姨》，这段相声反应了当时真实的社会状况，家长把孩子送到托儿所幼儿园真的放心)。
现在呢？不知道从什么时候开始，托儿所早就消失了吧？幼儿园也变成挤破头都抢不到名额了。换句话说，以前不管ZF用什么办法，解除了老百姓的这些后顾之忧，一个家庭生六七个都养得起。现在呢？zf早就把这部分责任甩手扔掉不知多少年了吧？有多少营利性幼儿园追逐利润，一方面对教师的道德疏于管教，另一方面收费倒是一个比一个高，然后呢？家长花那么高的成本，把孩子送到魔窟里去挨针扎、受虐待。既然你zf这么多年来，连把照看好婴幼儿都当做包袱甩给社会，那现在自然就要承担社会消化不了这种责任导致的后果了。
这个例子本质上还不是整个社会的消费能力降低且整体成本上升导致的幼托、幼教市场利润微薄，进而导致服务数量供给不足、服务质量滑坡吗？这推到根上，还是因为草民不得不被迫承担的那些所谓【刚xing需求】的总体成本太高了不是吗？
养孩子成本的飞升，是冰冻三尺非一日之寒。年轻人在计划生一个孩子之前总要为他的一生有一个基本的预期吧？总要对他从出生到成年的小二十年时间的总体花费成本有一个最基本的预算吧？总要对从预产到出生、到带孩子、到挣奶粉钱有个最基本的计算吧？一算下来，如果发现当下根本承担不了这种成本，那谁还敢生呢？只能往后推了。
这只是举了一个最简单的例子，所以，那些根本问题不着手解决，仅靠放开三孩生育不过是治标不治本的自欺欺人罢了。连一孩都生不起的人，你就算给他们七孩指标，鼓励他们都成为葫芦娃家庭也没用。道理也非常简单，因为掌握社会大量财富的(也就是不会受这种经济收入问题影响的)人口的总数量太少了，这些人在贡献出生人口数量方面的产出能力，开满了也是杯水车薪。
开放三孩的解决方法反应出一种思维上的幼zhi，明明知道根本问题在哪，偏偏装看不见。
我有一种担心，任由这种掩耳盗铃的治标大法继续下去，将来可能会演变成开放引进移民。但是，本质问题没解决，引进的低端移民只会把社会平均水平拉得更低、制造更多的社会混乱。中国人是世界上最吃苦耐劳的民族了，引进的低端移民在这方面能比得过我们吗(看看某些外国的国民那好吃懒做的样子就知道了)？问题的本质不是大量国民真的不愿意生孩子，而是事实上成本太高真的生不起，即使引进低端移民进来，他们也一样生不起，将来还得变成社会的负担。
估计这个答案逃脱不了被河蟹的命运，看看能存活几天吧。",2021-05-31 19:39:04,170,59
biubiubiu,jin-ming-42-17,不知道为啥这新闻看得我想吐,2021-05-31 16:54:30,217,22
Unicorn,fu-en-xue-ba,"拉新太难了，还是老用户好
生三孩，英雄父母",2021-05-31 16:40:01,187,26
zixin呐,tian-cai-mei-shao-nu-85,上有四老，下有三宝，中间两个，死了拉倒,2021-05-31 17:09:09,175,22
匿名用户,,"说一点感受。
我儿子幼儿园一年级。在网上买了一个平衡车。买之前还问了下他喜欢哪种颜色他说他喜欢蓝色，然后哄他入睡。媳妇特地嘱咐我，买好点的，小孩子难免磕磕碰碰。
一上某多多某淘，密密麻麻一大片，各种款式。对于一个长久不给孩子买东西的老父亲简直是一种灾难。某多多吧，质量太差。怕孩子骑着发生意外。某猫又贵。挑了一个淘宝店铺下单的。看了又看选了一个相对贵的。我也知道人家挣我不少钱。实在不愿意比来比去，也不愿选择将就下买个便宜的。
有哪个父亲面对自己心爱的子女因为省点钱而在安全上打折扣呢？恨只恨赚钱太不容易。
这个时代跑的太快了，快到让我们这样的普通人难以适应时刻都可能面临被淘汰。
可是作为父亲，看着儿子熟睡的脸庞，实在是不甘而又无能为力。一个家庭需要用钱的地方太多了。
开放二胎三胎，对于我们这样的家庭来说。实在是无力承担。并不是我们不够疼爱自己的子女，也不是不愿意生。这个社会对我们这样的普通人太苛刻了。苛刻到多生一个仿佛这个世界又多了一个可怜人，看不到一丝的希望。",2021-06-07 01:04:51,302,68
张三,zhang-san-19-10-74,第七次人口普查的数据明明人口形式很不错的呀,2021-05-31 16:32:51,185,23
覃老师,100861-72,"要不开放一妻多夫？3个孩子3个爸爸，大家都减负了。
上面这句是对这个政策表示呵呵而已，大可不必当真，各位尽可畅所欲言。
生育是女性的权力，想生的就生，不想生的，该咋过就咋过。
我们都有美好的未来。
回头来更新分享一本最近看的很感动的书，《温尼科特与为人父母者的谈话》。
温尼科特太温柔又太温暖了，读他的文字，就像进入了一个母亲温暖的怀抱，还能在这个怀抱里自由地徜徉。
这本书尤其适合父母或准父母阅读。
唐纳德·温尼科特是继弗洛伊德后的又一位精神分析大师，同时他也是一位十分出色的儿科学家。他一生中接待和治疗过近6万个母婴家庭，在英国家喻户晓。
本书是温尼科特论述情绪发展过程的代表作之一。
书中大部分内容是基于作者在英国国家广播公司所做的系列广播节目，而该节目帮助了英国成千上万的父母，使他们更好地了解孩子的情绪世界，更好地建立母婴养育关系。
尤其重要的是，作者以一种共情、关怀、乐观的态度看待育儿工作，并且由衷地欣赏和肯定父母的天性潜质，这无疑也是对父母育儿的极大支持。
读者可以看到“吸吮行为”“嫉妒”“信任的建立”“从家庭走向学校”等主题，这些将对其育儿过程有很大的启发和指导。
各个领域的专业工作者，如社会工作者、幼儿园老师、中小学老师、儿科医护人员、心理学家、心理咨询师、精神科医生等，都很有必要了解温尼科特的理论思想，以了解人类心理的早期成长过程。
“健康的孩子确实需要感受到继续存在的控制，但纪律和规矩必须是由那些有能力被爱和被恨的人，有能力被违抗但也被依赖的人提供的。单纯机械性的控制是没什么用处的，恐惧也不能激发孩子内心中真正的顺从。”—-唐纳德·温尼科特。
孩子只需要一个真是的父母。
愿你我是因为内心真实想生孩子而去孕育生命。",2021-06-04 15:22:01,275,92
凯的风云,kai-de-feng-yun,"你说这些制订政策的人，真的不知道怎么样才能解决生育率的问题吗？
并不是，只是他们是在云端的既得利益者。让他们割自己的肉解决问题是不可能的。
只有背叛自己阶级的人，没有背叛自己阶级的阶级。
越大才越来越觉得毛主席的伟大。竟然能让无产阶级都认为自己和资本家还有既得利益者是平等的，而且持续了这么久。
如果不能从根本上解决问题，躺平才是理性的选择吧。",2021-05-31 17:25:05,156,10
多多,duo-duo-40-53,64岁清晨，7点闹钟响起，去三个房间看了看三个孩子是不是都乖乖在家睡觉，帮9个孙子孙女做好早饭，再去两个房间看一眼四个老人是不是都还好好的睡着觉，安心的挤公交去上班，今天的我也要元气满满哦！,2021-06-02 17:04:25,134,24
